57,16
60,30
49,80
60,9
37,16
46,88
60,95
75,86
61,28
72,31
85,79
83,0
79,25
61,98
69,32
50,59
61,2
75,23
83,10
89,38
96,46
91,5
87,77
77,52
61,28
57,11
13,49
53,35
60,98
80,19
80,36
64,4
72,80
14,76
29,24
60,47
17,78
63,40
39,100
85,54
70,78
82,96
75,52
89,90
73,89
51,85
42,0
46,24
92,58
40,77
30,24
50,68
34,1
60,81
25,76
57,19
33,82
98,2
13,52
64,48
47,97
55,27
60,36
52,31
11,81
91,24
76,60
44,95
59,33
82,37
27,82
25,19
10,32
38,78
12,38
49,65
93,80
38,67
73,50
53,35
85,41
14,17
80,56
13,92
65,43
74,84
31,24
61,60
36,100
26,65
71,43
80,46
12,40
34,10
32,27
98,41
69,96
67,24
26,58
41,81
56,7
38,13
71,44
36,58
94,92
91,89
52,51
100,21
65,62
57,40
55,18
47,98
59,6
60,63
49,92
50,40
39,60
55,93
77,30
46,81
94,6
57,27
10,33
94,66
15,40
54,37
50,65
84,63
26,81
29,27
42,45
21,66
10,56
10,71
94,49
57,82
38,97
80,49
47,18
13,23
98,66
23,98
34,71
54,94
54,27
63,1
98,22
64,87
91,75
19,65
96,31
41,95
17,35
27,4
98,64
43,94
26,59
66,2
54,55
49,4
44,85
46,19
46,54
89,75
72,80
55,48
53,51
71,71
28,66
81,78
19,21
46,22
31,57
35,85
22,11
26,90
59,94
40,94
62,48
88,77
13,46
18,23
63,88
70,60
38,55
91,83
59,66
36,33
75,79
85,13
78,25
10,19
76,16
65,28
68,17
95,93
73,46
22,66
42,72
21,71
97,18
76,90
55,29
66,33
59,50
29,20
82,63
78,92
61,96
40,42
27,34
48,40
60,27
48,78
95,18
100,71
97,0
32,87
67,48
16,85
39,14
97,1
64,93
41,3
57,9
89,70
78,52
14,55
18,89
21,46
42,56
35,61
90,59
24,14
61,61
29,8
51,45
44,44
23,3
47,70
39,38
84,3
72,20
51,82
95,8
81,65
54,60
92,56
100,55
39,76
77,86
10,72
22,18
50,59
49,97
51,15
36,46
83,57
42,79
73,19
47,25
16,90
50,51
88,76
94,50
71,63
58,30
39,18
54,43
56,60
94,56
45,60
96,19
28,27
55,86
89,87
38,15
66,20
37,77
61,70
22,13
19,56
10,9
68,77
24,27
67,25
70,39
58,3
57,94
10,16
41,13
28,93
51,41
57,55
87,99
39,87
86,25
58,84
20,85
13,70
70,19
51,37
72,76
14,98
19,84
20,6
32,91
77,54
84,42
89,82
49,38
34,94
76,43
82,23
88,87
23,5
65,59
32,93
66,95
71,0
96,73
54,35
46,49
82,24
42,22
66,63
11,25
30,33
22,100
78,77
69,72
31,64
88,79
68,89
47,76
13,10
46,100
72,52
54,100
17,21
96,43
93,54
13,36
90,12
43,30
36,79
45,37
38,94
13,6
87,64
48,98
56,13
13,6
13,52
81,18
19,16
47,31
70,23
27,92
35,28
70,40
84,76
99,98
16,4
31,12
33,58
100,62
34,96
76,85
50,91
85,11
11,52
31,85
25,34
58,47
31,93
65,5
11,94
31,76
